sample_id	fasta_path	species	taxon_id	proteome_id	source_database	release	provenance_status	header_parser	header_parser_strict
Chlamydomonas_reinhardtii	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Chlamydomonas_reinhardtii.fasta	Chlamydomonas reinhardtii			inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
Hordeum_vulgare	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Hordeum_vulgare.fasta	Hordeum vulgare subsp. vulgare	112509		inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
Medicago_truncatula	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Medicago_truncatula.fasta	Medicago truncatula			inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
Oryza_sativa	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Oryza_sativa.fasta	Oryza sativa subsp. japonica	39947		inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
Physcomitrella_patens	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Physcomitrella_patens.fasta	Physcomitrella patens			inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
Populus_trichocarpa	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Populus_trichocarpa.fasta	Populus trichocarpa			inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
Solanum_lycopersicum	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Solanum_lycopersicum.fasta	Solanum lycopersicum			inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
Solanum_tuberosum	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Solanum_tuberosum.fasta	Solanum tuberosum			inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
Sorghum_bicolor	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Sorghum_bicolor.fasta	Sorghum bicolor			inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
Triticum_aestivum	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Triticum_aestivum.fasta	Triticum aestivum	4565		inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
Zea_mays	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Zea_mays.fasta	Zea mays	4577		inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
Glycine_max	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Glycine_max.fasta	Glycine max			inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
Batrachochytrium_dendrobatidis	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Batrachochytrium_dendrobatidis.fasta	Batrachochytrium dendrobatidis			inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
Arabidopsis_thaliana	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/Arabidopsis_thaliana.fasta	Arabidopsis thaliana	3702		inherited_project_FASTA	not_recorded	source_release_to_be_confirmed	manifest	false
onekp_dataset	/home/pthorpe001/data/2026_E3_protac/SSD_back_up_July_2026/Erin_Butterfield_data/Other_things/Denbi/denbi_data/E3_discovery_engine/files/fasta_files/onekp_dataset.fasta	1KP combined transcriptome-derived protein dataset			1KP inherited combined dataset	not_recorded	source_release_to_be_confirmed	onekp_scaffold	true
