field	category	type_or_unit	definition	interpretation_or_caution
final_evolutionary_rank	1. Ranks and review statuses	Integer; blank if ineligible	Final rank of the distinct evolutionary group after joining its deterministic lead DeepClust cluster to the integrated structural result.	This is the principal ordering for the group-level final review lists; lower is better. It is not an experimental validation rank.
member_pocket_top_k	2. Top-k pocket sensitivity fields	Integer; blank if ineligible	Number of ranked pockets retained per structurally assessed member in the sensitivity analysis.	The v0.14.0 sensitivity authority used top five pockets. This is not the number of pockets that passed.
sensitivity_group_position_support_fraction	2. Top-k pocket sensitivity fields	Fraction/score (0-1)	Fraction of expected group members supported at the same three-dimensional pocket position when any of the retained top-k pockets may match.	Sensitivity result; compare with the primary selected-pocket result and do not substitute it silently for the primary gate.
sensitivity_group_support_fraction	2. Top-k pocket sensitivity fields	Fraction/score (0-1)	Fraction of expected group members with a fully conserved three-dimensional pocket under the top-k sensitivity rule.	Sensitivity result showing how pocket-choice uncertainty changes support; it is not the primary decision field.
position_rescued_accession_count	2. Top-k pocket sensitivity fields	Integer count	Number of member accessions whose same-position support changes from unsupported under the primary pocket to supported under the top-k sensitivity rule.	Counts accessions rescued by alternate pocket selection, not newly generated structures.
conservation_rescued_accession_count	2. Top-k pocket sensitivity fields	Integer count	Number of member accessions whose full 3D conservation support changes from unsupported under the primary pocket to supported under the top-k sensitivity rule.	A rescue indicates sensitivity to pocket choice and should be reviewed alongside the primary result.
sensitivity_position_alignment_status	2. Top-k pocket sensitivity fields	Categorical status	Group-level categorical conclusion for same-position 3D pocket support under the top-k sensitivity analysis.	Status values distinguish supported, not supported and not assessed; they are not booleans with missing values treated as false.
sensitivity_alignment_status	2. Top-k pocket sensitivity fields	Categorical status	Group-level categorical conclusion for fully conserved 3D-pocket support under the top-k sensitivity analysis.	This sensitivity conclusion does not replace three_dimensional_alignment_status in the configured primary gate.
prestructure_evolutionary_group_rank	1. Ranks and review statuses	Integer; blank if ineligible	Rank of the distinct evolutionary group before ligandability and structural evidence were integrated.	Lower is better. Differences from final_evolutionary_rank show reordering caused by structural evidence.
evolutionary_group_key	3. Evolutionary-group identity and contributors	Identifier/text	Stable compound identifier formed as primary_group_type:primary_group_id.	Use this key for joins at evolutionary-group level; do not join group tables by lead_cluster_id alone.
primary_group_type	3. Evolutionary-group identity and contributors	Identifier/text	OrthoFinder grouping level chosen as the primary evolutionary unit for the candidate.	Usually a hierarchical orthogroup; interpret primary_group_id in the context of this type.
primary_group_id	3. Evolutionary-group identity and contributors	Identifier/text	Identifier of the primary OrthoFinder orthogroup or hierarchical orthogroup.	It is not a DeepClust cluster identifier and should not be conflated with lead_cluster_id.
lead_cluster_id	5. Lead-cluster pre-structure evidence	Identifier/text	DeepClust cluster selected deterministically to supply the group-facing detailed evidence record.	The lead is the best computationally ranked contributor; a group may contain multiple contributing clusters.
lead_computational_rank	5. Lead-cluster pre-structure evidence	Integer; blank if ineligible	Pre-structure computational rank of the deterministic lead DeepClust cluster.	This is a cluster rank, whereas prestructure_evolutionary_group_rank is a distinct-group rank.
contributing_deepclust_cluster_count	3. Evolutionary-group identity and contributors	Integer count	Number of DeepClust clusters assigned to the same primary evolutionary group.	Values above one show that several discovery clusters were consolidated into one evolutionary candidate.
contributing_deepclust_cluster_ids	3. Evolutionary-group identity and contributors	Semicolon-delimited text list	Semicolon-delimited DeepClust cluster identifiers contributing to the evolutionary group.	Use the contributor relation for row-level details; this field is a compact audit summary.
best_prestructure_score	3. Evolutionary-group identity and contributors	Fraction/score (0-1)	Maximum prestructure_score among all contributing DeepClust clusters in the evolutionary group.	This is a group aggregate and can differ from a displayed lead field only if ranking tie-breaking requires it.
mean_prestructure_score	3. Evolutionary-group identity and contributors	Fraction/score (0-1)	Arithmetic mean prestructure_score across all contributing DeepClust clusters in the evolutionary group.	Describes within-group average strength; it is not used as the lead cluster's final structural score.
