canonical_species_name	source_species_name	taxon_id	required	role	aliases	lineage_taxon_ids
Arabidopsis thaliana	Arabidopsis_thaliana	3702	true	target_plant	UP000006548_3702	1;131567;2759;33090;35493;3193;58023;58024;3398;3699;3700;3702
Brachypodium distachyon	Brachypodium_distachyon	15368	true	target_plant		1;131567;2759;33090;35493;3193;58023;58024;4447;1437197;4479;359160;147368;15367;15368
Glycine max	Glycine_max	3847	true	target_plant		1;131567;2759;33090;35493;3193;58023;58024;3398;72025;3803;3847
Hordeum vulgare	Hordeum_vulgare	4513	true	target_plant		1;131567;2759;33090;35493;3193;58023;58024;4447;1437197;4479;359160;147368;1648038;147389;4513
Medicago truncatula	Medicago_truncatula	3880	true	target_plant		1;131567;2759;33090;35493;3193;58023;58024;3398;72025;3803;3880
Oryza sativa	Oryza_sativa	4530	true	target_plant		1;131567;2759;33090;35493;3193;58023;58024;4447;1437197;4479;359160;147367;147380;1648021;4530
Populus trichocarpa	Populus_trichocarpa	3694	true	target_plant		1;131567;2759;33090;35493;3193;58023;58024;3398;3646;3688;3694
Solanum lycopersicum	Lycopersicon_esculentum	4081	true	target_plant	Solanum_lycopersicum	1;131567;2759;33090;35493;3193;58023;58024;3398;4069;4070;4081
Solanum tuberosum	Solanum_tuberosum	4113	true	target_plant		1;131567;2759;33090;35493;3193;58023;58024;3398;4069;4070;4113
Sorghum bicolor	Sorghum_bicolor	4558	true	target_plant		1;131567;2759;33090;35493;3193;58023;58024;4447;1437197;4479;147370;147369;1648033;147429;4558
Triticum aestivum	Triticum_aestivum	4565	true	target_plant		1;131567;2759;33090;35493;3193;58023;58024;4447;1437197;4479;359160;147368;1648038;147389;4565
Zea mays	Zea_mays	4577	true	target_plant		1;131567;2759;33090;35493;3193;58023;58024;4447;1437197;4479;147370;147369;1648033;147429;4577
Homo sapiens	Homo_sapiens	9606	true	reference_species	UP000005640_9606	1;131567;2759;33208;7711;40674;9443;9604;9606
